,Dist_Code,Year,State_Code,State_Name,Dist_Name,Rice_Area,RICE_PRODUCTION,ANNUAL_RAIN,avg_rain,Nitrogen,POTASH,PHOSPHATE,RICE_YIELD
0,1,2005,14,Chhattisgarh,Durg,775.99,984.31,1103.9,62.53333333,52888,10466,23912,1268.46
1,1,2006,14,Chhattisgarh,Durg,781.7,1177.1,886.4,52.89166667,63978,12392,30775,1505.81
2,1,2007,14,Chhattisgarh,Durg,799.89,1095.84,1068.5,64.175,60332,11458,27558,1369.98
3,1,2008,14,Chhattisgarh,Durg,803.37,704.09,904.8,63.875,52406,17602,33857,876.42
4,1,2009,14,Chhattisgarh,Durg,789.04,622.05,695.7,24.20833333,72854,18091,41199,788.37
5,1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1149.7,63.2,77428,19543,45185,1695.77
6,1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1282.3,80.21666667,72843,17339,45815,1756.23
7,1,2012,14,Chhattisgarh,Durg,807.07,1534.22,1092.1,61.93333333,93725,16214,50474,1900.97
8,1,2013,14,Chhattisgarh,Durg,819.44,1296.24,1568.0,81.75833333,80745,16124,42229,1581.86
9,1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1379.7,73.175,92460,16253,54358,1729.89
10,1,2015,14,Chhattisgarh,Durg,817.68,880.6,1008.7,68.525,109099,19423,62410,1076.95
11,2,2005,14,Chhattisgarh,Bastar,635.47,788.65,1419.1,96.45,10661,1959,4827,1241.05
12,2,2006,14,Chhattisgarh,Bastar,546.54,836.54,1709.8,101.5666667,12218,2520,6136,1530.61
13,2,2007,14,Chhattisgarh,Bastar,626.07,927.73,1259.2,88.60833333,9710,715,3270,1481.83
14,2,2008,14,Chhattisgarh,Bastar,627.78,729.33,1398.3,86.50833333,11578,3579,5451,1161.76
15,2,2009,14,Chhattisgarh,Bastar,626.66,682.46,1030.9,48.66666667,17440,3212,9076,1089.04
16,2,2010,14,Chhattisgarh,Bastar,621.89,1184.98,1623.2,100.04166670000001,16819,5277,9675,1905.45
17,2,2011,14,Chhattisgarh,Bastar,627.73,772.88,1160.5,76.58333333,16701,3459,10399,1231.23
18,2,2012,14,Chhattisgarh,Bastar,637.8,1341.33,1542.6,94.65,16472,3495,8764,2103.06
19,2,2013,14,Chhattisgarh,Bastar,642.79,1265.91,1434.5,94.96666667,13070,2909,7129,1969.4
20,2,2014,14,Chhattisgarh,Bastar,646.7,1377.04,1476.6,90.65,21424,4606,11737,2129.33
21,2,2015,14,Chhattisgarh,Bastar,644.56,664.46,1538.5,115.725,19698,5141,13415,1030.87
22,3,2005,14,Chhattisgarh,Raipur,918.33,1147.58,1348.0,71.20833333,72879,15430,47155,1249.64
23,3,2006,14,Chhattisgarh,Raipur,918.39,1324.71,1206.7,68.51666667,101407,21781,46657,1442.43
24,3,2007,14,Chhattisgarh,Raipur,956.63,1483.28,1434.2,92.84166667,106660,30274,55126,1550.53
25,3,2008,14,Chhattisgarh,Raipur,942.24,1252.38,1114.5,73.45,106007,23481,53556,1329.15
26,3,2009,14,Chhattisgarh,Raipur,928.66,1307.24,937.5,30.475,115245,24550,59287,1407.66
27,3,2010,14,Chhattisgarh,Raipur,915.4,1521.13,1109.1,53.89166667,127705,27617,64093,1661.71
28,3,2011,14,Chhattisgarh,Raipur,958.01,1421.37,1322.9,85.79166667,143926,27341,66868,1483.67
29,3,2012,14,Chhattisgarh,Raipur,993.68,1974.69,1233.0,69.64166667,140933,12325,63782,1987.25
30,3,2013,14,Chhattisgarh,Raipur,1009.22,1749.21,1443.6,83.9,133516,16718,62690,1733.23
31,3,2014,14,Chhattisgarh,Raipur,1034.99,2127.73,1233.2,64.91666667,131220,20116,56975,2055.8
32,3,2015,14,Chhattisgarh,Raipur,986.91,1412.83,921.4,60.225,127207,16422,51969,1431.57
33,4,2005,14,Chhattisgarh,Bilaspur,711.59,874.16,1475.7,85.44166667,55418,5494,14434,1228.45
34,4,2006,14,Chhattisgarh,Bilaspur,712.81,1127.18,1091.7,60.19166667,60337,6684,17875,1581.33
35,4,2007,14,Chhattisgarh,Bilaspur,716.37,1160.03,1269.4,76.325,56764,4978,14927,1619.32
36,4,2008,14,Chhattisgarh,Bilaspur,749.56,1070.95,1047.0,68.01666667,51999,7429,20055,1428.76
37,4,2009,14,Chhattisgarh,Bilaspur,696.49,994.29,791.4,39.71666667,59188,7339,25472,1427.57
38,4,2010,14,Chhattisgarh,Bilaspur,705.67,1333.61,973.9,56.13333333,60950,8969,28185,1889.83
39,4,2011,14,Chhattisgarh,Bilaspur,749.08,1557.35,1290.1,88.66666667,79347,8989,29934,2079.01
40,4,2012,14,Chhattisgarh,Bilaspur,747.27,1746.82,1350.1,71.18333333,76076,5641,28892,2337.61
41,4,2013,14,Chhattisgarh,Bilaspur,726.15,1577.16,1449.5,95.43333333,74396,5533,25749,2171.95
42,4,2014,14,Chhattisgarh,Bilaspur,728.84,1683.92,1348.2,85.79166667,77949,6235,28868,2310.43
43,4,2015,14,Chhattisgarh,Bilaspur,731.83,1340.65,1056.8,68.59166667,75540,7911,32253,1831.92
44,5,2005,14,Chhattisgarh,Raigarh,421.56,417.86,1246.8,68.26666667,23120,2982,9291,991.22
45,5,2006,14,Chhattisgarh,Raigarh,421.04,437.91,1089.1,65.075,21975,3245,8460,1040.07
46,5,2007,14,Chhattisgarh,Raigarh,423.06,532.65,1291.8,79.125,23067,3014,9135,1259.04
47,5,2008,14,Chhattisgarh,Raigarh,423.29,500.83,1513.9,101.3166667,28705,5309,11004,1183.18
48,5,2009,14,Chhattisgarh,Raigarh,420.75,470.53,978.2,27.31666667,30471,4195,13966,1118.31
49,5,2010,14,Chhattisgarh,Raigarh,435.05,598.26,988.3,55.73333333,24194,4622,13785,1375.15
50,5,2011,14,Chhattisgarh,Raigarh,421.32,602.66,1288.5,84.95833333,30099,2241,14000,1430.41
51,5,2012,14,Chhattisgarh,Raigarh,422.65,641.28,1237.3,80.85,25807,1767,10948,1517.28
52,5,2013,14,Chhattisgarh,Raigarh,418.44,580.76,1221.3,69.6,25812,2344,11328,1387.92
53,5,2014,14,Chhattisgarh,Raigarh,408.9,657.79,1227.8,63.9,27928,4197,11565,1608.68
54,5,2015,14,Chhattisgarh,Raigarh,409.45,414.89,1192.1,71.38333333,31033,3660,14398,1013.29
55,6,2005,14,Chhattisgarh,Surguja,380.93,374.25,1120.1,75.16666667,17120,1499,4783,982.46
56,6,2006,14,Chhattisgarh,Surguja,383.16,403.92,1186.3,66.2,12305,1387,6099,1054.18
57,6,2007,14,Chhattisgarh,Surguja,380.88,435.45,1153.4,66.56666667,15725,2210,6950,1143.27
58,6,2008,14,Chhattisgarh,Surguja,382.59,449.93,1119.6,63.33333333,16910,3551,10337,1176.01
59,6,2009,14,Chhattisgarh,Surguja,376.0,270.74,564.1,27.45833333,20624,1606,13320,720.05
60,6,2010,14,Chhattisgarh,Surguja,371.28,399.46,596.7,31.725,14897,2961,10262,1075.9
61,6,2011,14,Chhattisgarh,Surguja,377.14,530.08,1383.6,94.4,13484,2471,10318,1405.53
62,6,2012,14,Chhattisgarh,Surguja,373.71,610.07,1122.5,65.025,22160,1782,11396,1632.47
63,6,2013,14,Chhattisgarh,Surguja,371.71,633.47,809.0,47.19166667,25632,3114,11078,1704.2
64,6,2014,14,Chhattisgarh,Surguja,381.43,687.04,840.0,54.61666667,22005,5317,11871,1801.22
65,6,2015,14,Chhattisgarh,Surguja,369.32,440.9,989.8,49.76666667,28205,4556,15297,1193.82
66,7,2005,6,Madhya Pradesh,Jabalpur,168.96,145.9,1806.2,73.90833333,20639,1042,12035,863.52
67,7,2006,6,Madhya Pradesh,Jabalpur,173.4,103.71,999.1,51.25833333,28205,1521,16181,598.1
68,7,2007,6,Madhya Pradesh,Jabalpur,153.8,53.52,1033.4,58.98333333,28086,2298,16387,347.98
69,7,2008,6,Madhya Pradesh,Jabalpur,173.3,103.69,1201.1,71.84166667,35173,4493,19890,598.33
70,7,2009,6,Madhya Pradesh,Jabalpur,135.2,78.8,1008.1,52.0,38809,4531,24312,582.84
71,7,2012,6,Madhya Pradesh,Jabalpur,182.13,292.91,1283.7,62.5,50877,3046,27139,1608.25
72,7,2013,6,Madhya Pradesh,Jabalpur,188.69,364.36,2109.7,128.1083333,57705,389,22933,1931.0
73,7,2014,6,Madhya Pradesh,Jabalpur,179.0,228.0,968.8,53.53333333,48381,1023,21016,1273.74
74,7,2015,6,Madhya Pradesh,Jabalpur,169.0,189.33,1043.9,57.79166667,57804,1271,23267,1120.3
75,8,2005,6,Madhya Pradesh,Balaghat,248.7,365.28,1937.9,115.4,10486,722,6693,1468.76
76,8,2006,6,Madhya Pradesh,Balaghat,248.65,299.34,1549.1,87.89166667,10663,744,6582,1203.86
77,8,2007,6,Madhya Pradesh,Balaghat,249.8,233.77,1257.1,71.15,12549,745,7523,935.83
78,8,2008,6,Madhya Pradesh,Balaghat,249.8,181.57,1325.4,85.24166667,13686,976,8278,726.86
79,8,2009,6,Madhya Pradesh,Balaghat,247.8,338.2,1010.6,36.85,14461,764,9454,1364.81
80,8,2012,6,Madhya Pradesh,Balaghat,260.77,486.46,1173.6,61.53333333,16377,484,8403,1865.48
81,8,2013,6,Madhya Pradesh,Balaghat,258.65,434.08,1428.8,76.475,15732,913,12464,1678.25
82,8,2014,6,Madhya Pradesh,Balaghat,245.0,449.33,1076.0,51.94166667,15649,596,10125,1834.0
83,8,2015,6,Madhya Pradesh,Balaghat,266.0,445.33,1004.7,66.69166667,19477,916,12859,1674.17
84,9,2005,6,Madhya Pradesh,Chhindwara,21.57,16.49,1212.0,62.79166667,16989,2197,6869,764.49
85,9,2006,6,Madhya Pradesh,Chhindwara,20.56,16.67,1093.5,60.10833333,20197,2242,7880,810.8
86,9,2007,6,Madhya Pradesh,Chhindwara,20.5,12.01,927.5,49.45833333,22965,2037,6989,585.85
87,9,2008,6,Madhya Pradesh,Chhindwara,19.3,9.57,668.0,45.01666667,20287,2771,6944,495.85
88,9,2009,6,Madhya Pradesh,Chhindwara,18.8,14.2,1162.3,36.425,30188,3829,10449,755.32
89,9,2012,6,Madhya Pradesh,Chhindwara,13.94,38.37,1078.7,65.55833333,35016,3192,14165,2752.51
90,9,2013,6,Madhya Pradesh,Chhindwara,13.81,28.05,1408.0,83.5,41304,2149,13320,2031.14
91,9,2014,6,Madhya Pradesh,Chhindwara,20.0,48.0,807.0,40.675,38309,3598,15624,2400.0
92,9,2015,6,Madhya Pradesh,Chhindwara,31.0,54.0,1133.3,74.5,47316,3922,17967,1741.94
93,10,2005,6,Madhya Pradesh,Narsinghpur,13.05,13.93,1585.6,47.31666667,9841,1543,4647,1067.43
94,10,2006,6,Madhya Pradesh,Narsinghpur,13.61,14.58,1084.4,56.54166667,13901,1694,5097,1071.27
95,10,2007,6,Madhya Pradesh,Narsinghpur,12.9,8.38,899.8,38.65833333,10666,848,4863,649.61
