Dist_Code,Year,State_Code,State_Name,Dist_Name,Rice_Area,RICE_PRODUCTION,ANNUAL_RAIN,avg_rain,Nitrogen,POTASH,PHOSPHATE,DYSTROPEPTS,FLUVENTS,INCEPTISOLS,LOAMY_ALFISOL,ORTHENTS,ORTHIDS,PSAMMENTS,SANDY_ALFISOL,UDALFS,UDOLLS_UDALFS,UDUPTS_UDALFS,USTALF_USTOLLS,USTALFS,VERTIC_SOILS,VERTISOLS,RICE_YIELD
1,2005,14,Chhattisgarh,Durg,775.99,984.31,1103.9,62.53333333,52888,10466,23912,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1268.46
1,2006,14,Chhattisgarh,Durg,781.7,1177.1,886.4,52.89166667,63978,12392,30775,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1505.81
1,2007,14,Chhattisgarh,Durg,799.89,1095.84,1068.5,64.175,60332,11458,27558,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1369.98
1,2008,14,Chhattisgarh,Durg,803.37,704.09,904.8,63.875,52406,17602,33857,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,876.42
1,2009,14,Chhattisgarh,Durg,789.04,622.05,695.7,24.20833333,72854,18091,41199,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,788.37
1,2010,14,Chhattisgarh,Durg,777.92,1319.18,1149.7,63.2,77428,19543,45185,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1695.77
1,2011,14,Chhattisgarh,Durg,806.55,1416.48,1282.3,80.21666667,72843,17339,45815,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1756.23
1,2012,14,Chhattisgarh,Durg,807.07,1534.22,1092.1,61.93333333,93725,16214,50474,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1900.97
1,2013,14,Chhattisgarh,Durg,819.44,1296.24,1568,81.75833333,80745,16124,42229,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1581.86
1,2014,14,Chhattisgarh,Durg,834.87,1444.24,1379.7,73.175,92460,16253,54358,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1729.89
1,2015,14,Chhattisgarh,Durg,817.68,880.6,1008.7,68.525,109099,19423,62410,0,0,0,6.00E-09,0,0,0,0,0,0,0,0.4,0,0,0,1076.95
2,2005,14,Chhattisgarh,Bastar,635.47,788.65,1419.1,96.45,10661,1959,4827,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1241.05
2,2006,14,Chhattisgarh,Bastar,546.54,836.54,1709.8,101.5666667,12218,2520,6136,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1530.61
2,2007,14,Chhattisgarh,Bastar,626.07,927.73,1259.2,88.60833333,9710,715,3270,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1481.83
2,2008,14,Chhattisgarh,Bastar,627.78,729.33,1398.3,86.50833333,11578,3579,5451,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1161.76
2,2009,14,Chhattisgarh,Bastar,626.66,682.46,1030.9,48.66666667,17440,3212,9076,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1089.04
2,2010,14,Chhattisgarh,Bastar,621.89,1184.98,1623.2,100.0416667,16819,5277,9675,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1905.45
2,2011,14,Chhattisgarh,Bastar,627.73,772.88,1160.5,76.58333333,16701,3459,10399,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1231.23
2,2012,14,Chhattisgarh,Bastar,637.8,1341.33,1542.6,94.65,16472,3495,8764,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,2103.06
2,2013,14,Chhattisgarh,Bastar,642.79,1265.91,1434.5,94.96666667,13070,2909,7129,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1969.4
2,2014,14,Chhattisgarh,Bastar,646.7,1377.04,1476.6,90.65,21424,4606,11737,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,2129.33
2,2015,14,Chhattisgarh,Bastar,644.56,664.46,1538.5,115.725,19698,5141,13415,0,0,0,1.00E-08,0,0,0,0,0,0,0,0,0,0,0,1030.87
3,2005,14,Chhattisgarh,Raipur,918.33,1147.58,1348,71.20833333,72879,15430,47155,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1249.64
3,2006,14,Chhattisgarh,Raipur,918.39,1324.71,1206.7,68.51666667,101407,21781,46657,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1442.43
3,2007,14,Chhattisgarh,Raipur,956.63,1483.28,1434.2,92.84166667,106660,30274,55126,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1550.53
3,2008,14,Chhattisgarh,Raipur,942.24,1252.38,1114.5,73.45,106007,23481,53556,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1329.15
3,2009,14,Chhattisgarh,Raipur,928.66,1307.24,937.5,30.475,115245,24550,59287,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1407.66
3,2010,14,Chhattisgarh,Raipur,915.4,1521.13,1109.1,53.89166667,127705,27617,64093,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1661.71
3,2011,14,Chhattisgarh,Raipur,958.01,1421.37,1322.9,85.79166667,143926,27341,66868,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1483.67
3,2012,14,Chhattisgarh,Raipur,993.68,1974.69,1233,69.64166667,140933,12325,63782,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1987.25
3,2013,14,Chhattisgarh,Raipur,1009.22,1749.21,1443.6,83.9,133516,16718,62690,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1733.23
3,2014,14,Chhattisgarh,Raipur,1034.99,2127.73,1233.2,64.91666667,131220,20116,56975,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,2055.8
3,2015,14,Chhattisgarh,Raipur,986.91,1412.83,921.4,60.225,127207,16422,51969,0,0,0,2.50E-09,0,0,0,0,0,0,0,0.5,0,0,0.15,1431.57
4,2005,14,Chhattisgarh,Bilaspur,711.59,874.16,1475.7,85.44166667,55418,5494,14434,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1228.45
4,2006,14,Chhattisgarh,Bilaspur,712.81,1127.18,1091.7,60.19166667,60337,6684,17875,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1581.33
4,2007,14,Chhattisgarh,Bilaspur,716.37,1160.03,1269.4,76.325,56764,4978,14927,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1619.32
4,2008,14,Chhattisgarh,Bilaspur,749.56,1070.95,1047,68.01666667,51999,7429,20055,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1428.76
4,2009,14,Chhattisgarh,Bilaspur,696.49,994.29,791.4,39.71666667,59188,7339,25472,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1427.57
4,2010,14,Chhattisgarh,Bilaspur,705.67,1333.61,973.9,56.13333333,60950,8969,28185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1889.83
4,2011,14,Chhattisgarh,Bilaspur,749.08,1557.35,1290.1,88.66666667,79347,8989,29934,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2079.01
4,2012,14,Chhattisgarh,Bilaspur,747.27,1746.82,1350.1,71.18333333,76076,5641,28892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2337.61
4,2013,14,Chhattisgarh,Bilaspur,726.15,1577.16,1449.5,95.43333333,74396,5533,25749,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2171.95
4,2014,14,Chhattisgarh,Bilaspur,728.84,1683.92,1348.2,85.79166667,77949,6235,28868,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2310.43
4,2015,14,Chhattisgarh,Bilaspur,731.83,1340.65,1056.8,68.59166667,75540,7911,32253,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1831.92
5,2005,14,Chhattisgarh,Raigarh,421.56,417.86,1246.8,68.26666667,23120,2982,9291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,991.22
